job_title|company_name|location|salary|duties|date_published|

newcashier|Heather's Snack Haven|Whitehorse, YT|$16 an hour|Process money, cheques and credit/debit card payments.Verify the age of customers when selling lottery tickets, alcohol or tobacco products.|Posted3 days ago
kitchen helper|dirty northern public house|Whitehorse, YT|$16 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 23 kg (50 lbs).|Posted27 days ago
newManager, Facility & Building Security Services|Yukon Hospital Corporation|Whitehorse, YT|$105,052 - $131,315 a year|The successful candidate is required to have a minimum of 5 years’ experience in related field; minimum 3 years managerial experience, preferably in a hospital…|Posted3 days ago
Nursing Home Attendant|Yukon Government|Whitehorse, YT|$59,557 - $68,872 a year|You will also participate in the development, implementation and evaluation of nursing care plans.You’ll report to the Nurse Supervisor and assist the nursing…|Posted20 days ago
YXY - Flight Kitchen - Catering Attendant|Air North|Whitehorse, YT|$21 an hour|If you have a good sense of humor and are ready to roll up your sleeves to prepare Air North’s renowned meals, we want to hear from you!Wage: $21.00 per hour.|Posted30 days ago
cashier|Sign Post Services Ltd|Watson Lake, YT|$17 an hour|Process money, cheques and credit/debit card payments.Verify the age of customers when selling lottery tickets, alcohol or tobacco products.|Posted9 days ago
receiver|Northern Susatainable Developments ltd|Whitehorse, YT|$25 an hour|Inspect and verify incoming goods against invoices or other documents.Driver's validity licence check.Up to 23 kg (50 lbs).|Posted30+ days ago
Cashier (NOC 6611)|Watson Lake Tags|Watson Lake, YT|$17 an hour|Cashier responsibilities include providing excellent customer service, greeting customers, answering customers questions and directing them to find items in the…|Posted9 days ago
newbarber|Larissa Chippett|Whitehorse, YT|$16 an hour|Analyze hair and scalp condition and provide basic treatment or advice on beauty care treatments for scalp and hair.Barbershop or hairstyling salon/studio.|Posted1 day ago
YXY - Building Maintenance Technician|Air North|Whitehorse, YT|$28 an hour|The technician must work independently and to a superior safety standard at all times.Ensuring building maintenance is up to Company and regulatory safety…|Posted30+ days ago
Drilling Rig Jobs - Canada|Precision Drilling|Canada|$33.00 - $46.50 an hour|**Willing to train for entry level positions**.- Waived waiting period for single/family extended health and dental benefits.|EmployerActive 12 days ago
Shelf Stocker|Canadian Tire|Yellowknife, NT|$16 an hour|May operate cash register and computer for electronic commerce transactions.Bag, box or parcel purchases for customers or for shipment or delivery to customers…|Posted30+ days ago
newSales Associate|Yellowknife Motors|Yellowknife, NT|$72,000 - $180,000 a year|Holds a valid driver’s license.Excellent customer service skills including listening and the ability to impact and influence others.|Posted3 days ago
Student Residence Manager|Dehcho Divisional Education Council|Fort Simpson, NT|$57,028 - $122,028 a year|Provide experiences that develop living cultural and recreational skills.Ability to assist high school students with their studies.|EmployerActive 14 days ago
General Helper - Snap Lake Mine|Horizon North|Yellowknife, NT|Null|Null|Null
newPostal Clerk - Retail and Operations|Canada Post Corp|Inuvik, NT+1 location|$21.80 an hour|Process financial transactions (cash, cheques, debit & credit card payments).Operate mail processing equipment (clearing jams, remove mail from sorting…|PostedJust posted
newMulti-Skilled Operator|The Nuna Group of Companies|Snap Lake, NT|Null|Null|Null
newLube/Fuel Operator|De Beers Group of Companies|Northwest Territories|Null|Null|Null
Equipment Operator - Haul Truck|Arctic Canadian Diamond Company|Northwest Territories|Null|Null|Null
newretail shelf stocker|AUBURN RETAILING LTD|Yellowknife, NT|$16.40 an hour|Fill mail or electronic orders from warehouse stock.Unpack products received by store and count, weigh or sort items.Keep stock clean and in order.|Posted3 days ago
Wildlife Monitor|Kipnik|Inuvik, NT|Null|Null|Null
Summer Student - Environment|Arctic Canadian Diamond Company|Northwest Territories|Null|Null|Null
newparts clerk|Ron's Auto Service Ltd|Yellowknife, NT|$25 - $35 an hour|Answer telephone and relay telephone calls and messages.Receive, unpack and sort incoming parts, supplies and materials.Prepare and track work orders.|Posted7 days ago
Equipment Operator - Road Train|Arctic Canadian Diamond Company|Northwest Territories|Null|Null|Null
newGeneral Labour (Entry Level Technician)|ALS Global|Yellowknife, NT|Null|Null|Null
Winter Road 2022|Khione Resources|Yellowknife, NT|Null|Null|Null
Student Residence Manager|Dehcho Divisional Education Council|Fort Simpson, NT|$57,028 - $122,028 a year|Provide experiences that develop living cultural and recreational skills.Ability to assist high school students with their studies.|Posted13 days ago
Tool Crib Attendant|De Beers Group of Companies|Northwest Territories|Null|Null|Null
Assistant Process Plant|Arctic Canadian Diamond Company|Northwest Territories|Null|Null|Null
Program and Youth Engagement Coordinator|Skills Canada Northwest Territories|Yellowknife, NT|$85,000 a year|Working alongside the Executive Director on critical programs, the 'Program & Youth Engagement Coordinator' will strongly emphasize the inclusion and engagement…|Posted13 days ago
newaircraft refueler|Midnight Petroleum|Yellowknife, NT|$85,000 - $115,000 a year|Class 3/3F/DF Licence (trailer truck, vehicles with more than 3 axles).Driver's validity licence check.Up to 9 kg (20 lbs).|Posted6 days ago
General Interest Applicants|Det'on Cho Management LP|Yellowknife, NT|Null|Null|Null
Courier Driver|Buffalo Parcel Courier Services Ltd.|Yellowknife, NT|$24 an hour|Knowledge of the city will be very beneficial to help with your truck sort and deliveries.3 Years of driving experience required.|Posted19 days ago
Equipment Operator - Support|Arctic Canadian Diamond Company|Northwest Territories|Null|Null|Null
newPostal Clerk - Retail and Operations|Canada Post Corp|Inuvik, NT+1 location|$21.80 an hour|Process financial transactions (cash, cheques, debit & credit card payments).Operate mail processing equipment (clearing jams, remove mail from sorting…|PostedJust posted
labourer, pipeline|Midnight Petroleum|Hay River, NT|$4,500 - $6,000 a month|Up to 23 kg (50 lbs).|Posted9 days ago
newHousekeeper-Diavik|Det'on Cho Mangement LP|Yellowknife, NT|$50,500 - $61,500 a year|Under the supervision and direction of the Head Housekeeper at the Diavik Diamond Mine, the Housekeeper is a key member of the Bouwa Whee Service Team who will…|Posted6 days ago
newkitchen helper|Marcom Resources Ltd.|Yellowknife, NT|$18 an hour|Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas.Handle and store cleaning products.Up to 23 kg (50 lbs).|Posted3 days ago
Class 1&5 Driver for City Pickup & Delivery/Dock Worker Grea...|Manitoulin Group of Companies|Inuvik, NT|$30 an hour|Class 1&5 license with air.Must be able to provide a criminal record check, driver abstract, 3 work-related references.|Posted30+ days ago
Temporary Heavy Equipment Operator, Mining|De Beers Group of Companies|Northwest Territories|Null|Null|Null
newCountry Food Processing Plant Operator|Inuvialuit Regional Corporation|Inuvik, NT|Null|Null|Null
newGeneral Helper (Kitchen) Gahcho Kue|Det'on Cho Mangement LP|Yellowknife, NT|$41,500 - $51,500 a year|A current WHMIS and Level 1 Food Safe certificates.Knowledge of the safe and efficient operation of equipment within the Food Service area of operations.|Posted6 days ago
newTourism & Economic Development Coordinator (FT)|Town of Hay River|Hay River, NT|Null|Null|Null
family service worker|Yellowknife Women's Society|Yellowknife, NT|$25.00 - $27.50 an hour|Maintain program statistics for purposes of evaluation and research.Develop, co-ordinate and implement the delivery of specific services within the community.|Posted23 days ago
Process Plant Operator|De Beers Group of Companies|Yellowknife, NT|Null|Null|Null
newretail store supervisor|AUBURN RETAILING LTD|Yellowknife, NT|$19.25 an hour|Hire and train or arrange for training of staff.Prepare reports on sales volumes, merchandising and personnel matters.|Posted3 days ago
Aurora Borealis and Sled Dog Tour Guide|Beck's Kennels Aurora Wonderland|Yellowknife, NT|Null|Null|Null
Program Officer/Policy and Program Officer|Crown-Indigenous Relations and Northern Affairs...|Yellowknife, NT•Temporarily Remote|$71,599 - $77,368 a year|Class 5 Driver’s license.Experience in developing and/or maintaining partnerships** with internal and external partners (examples include: Indigenous…|Posted10 days ago
newDog Musher|Aurora Wonderland & Becks Kennels|Yellowknife, NT|$600 - $950 a week|Trail work or grooming, assist driver in training and care of animals.Morning and evening feeding of puppies and nursing mother in kennel.|Posted7 days ago
newCustomer Service Agent|Canadian North|Inuvik, NT+1 location|Null|Null|Null
newJanitor- Gahcho Kue|Det'on Cho Mangement LP|Yellowknife, NT|$41,500 - $51,500 a year|Under the supervision and direction of the Head Housekeeper the Janitor is responsible for the cleaning, stocking and maintaining of the designated facility and…|Posted6 days ago
NWS Electronics Maintenance Technician|Raytheon Intelligence & Space|Inuvik, NT|Null|Null|Null
Labourers|Kasteel Construction and Coatings|Yellowknife, NT|Null|Null|Null
Underground Miners / Yellowknife, NT|Procon Group of Companies|Yellowknife, NT|Null|Null|Null
truck driver|851791 NWT Ltd.|Hay River, NT|$29.44 an hour|Perform pre-trip, en route and post-trip inspection and oversee all aspects of vehicle.Oversee condition of vehicle and inspect tires, lights, brakes, cold…|Posted30+ days ago
newAgent(e) de Réservations d'Hotel|ACCOR(CORPORATE)|Prince Edward Island, PE•Remote|$17.50 - $18.50 an hour|Pour être considéré pour ce poste, vous devez être situé au Nouveau-Brunswick, en Nouvelle-Écosse, à l’Île-du-Prince-Édouard ou au Québec, Canada.|Posted5 days ago
newMedical Receptionist|Dr. William J Best Professional Corp|Charlottetown, PE|$18 - $20 an hour|RESPONSIBILITIES: Managing daily office activities including, but not limited to, appointment scheduling (office visits, testing, operations, etc.), telephone…|Posted8 days ago
newadministrative assistant|canadian nectar products|Montague, PE|$23 an hour|Answer telephone and relay telephone calls and messages.Type and proofread correspondence, forms and other documents.|Posted7 days ago
Drilling Rig Jobs - Canada|Precision Drilling|Canada|$33.00 - $46.50 an hour|**Willing to train for entry level positions**.- Waived waiting period for single/family extended health and dental benefits.|Posted30+ days ago
newClient Advisor (15 hours / week)|RBC|Prince Edward Island|Null|Null|Null
newproduction labourer - food processing|Amalgamated Dairies Limited|Summerside, PE|$20.06 an hour|Feed and unload processing machines.Manually pack goods into bags and boxes or other containers.Up to 23 kg (50 lbs).Remove filled containers from conveyors.|Posted6 days ago
Seasonal|Groupe Dynamite Inc.|Charlottetown, PE|Null|Null|Null
tutor - elementary school subjects|Learning Disabilities Association of P.E.I. Inc.|Charlottetown, PE•Remote|$20.00 - $22.50 an hour|Security and Safety Criminal record check Work Conditions and Physical Capabilities Attention to detail Sitting Personal Suitability Effective interpersonal…|Posted14 days ago
newPostal Clerk - Retail Counter Clerk|Canada Post Corp|Summerside, PE|$21.80 an hour|Process financial transactions (cash, cheques, debit & credit card payments) Job Responsibilities (continued).Receive, sort and sequence mail items.|PostedJust posted
Laboratory Support Technician (EG-02) (Inventory)|Canadian Food Inspection Agency|Charlottetown, PE|$52,316 - $66,197 a year|Reliability Status security clearance - Applicants who have not lived in Canada for the past five or ten years may be required to submit a police certificate…|Posted30+ days ago
Virtual Medical Scribe|Aquity Canada ULC|Charlottetown, PE•Remote|$16 an hour|Have a HIPPA compliant workspace (four walls, door, no pets or family members present, not in a common living space).|Posted30+ days ago
Pre-board Screening Officer|Securitas Canada Ltd.|Charlottetown, PE|Null|Null|Null
sales associate|Cavendish Farms Corporation|Summerside, PE|$52,000 - $60,000 a year|Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease.|Posted12 days ago
Heavy Labourer|Amalgamated Dairies Limited|Summerside, PE|$20.06 an hour|Previous experience in a HACCP certified food production setting is preferred.The primary role of the Heavy Labourer is to assist in the manufacturing of or…|Posted30+ days ago
operations manager - manufacturing|Cavendish Farms Corporation|Summerside, PE|$120,000 - $150,000 a year|Authorize the development of specifications for products or services.Establish procedures and implement policies.Oversee the analysis of data and information.|Posted30+ days ago
tutor - elementary school subjects|Learning Disabilities Association of P.E.I. Inc.|Charlottetown, PE•Remote|$20.00 - $22.50 an hour|Security and Safety Criminal record check Work Conditions and Physical Capabilities Attention to detail Sitting Personal Suitability Effective interpersonal…|Posted14 days ago
Overnight Order Picker: Full Time|The Home Depot Canada|Charlottetown, PE|Null|Null|Null
Laboratory Support Technician (EG-02) (Inventory)|Canadian Food Inspection Agency|Charlottetown, PE|$52,316 - $66,197 a year|Reliability Status security clearance - Applicants who have not lived in Canada for the past five or ten years may be required to submit a police certificate…|Posted30+ days ago
Virtual Medical Scribe|Aquity Canada ULC|Charlottetown, PE•Remote|$16 an hour|Have a HIPPA compliant workspace (four walls, door, no pets or family members present, not in a common living space).|Posted30+ days ago
Experienced Customer Service Representative|Affinity Global (Global Credit & Collection Inc.)|Charlottetown, PE•Remote|$14.50 - $17.50 an hour|Handle inbound and outbound calls of existing customers.Provide customers with positive experience.Negotiate payments and/or reasonable payment arrangements.|Posted30+ days ago
Pre-board Screening Officer|Securitas Canada Ltd.|Charlottetown, PE|Null|Null|Null
sales associate|Cavendish Farms Corporation|Summerside, PE|$52,000 - $60,000 a year|Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease.|Posted12 days ago
operations manager - manufacturing|Cavendish Farms Corporation|Summerside, PE|$120,000 - $150,000 a year|Authorize the development of specifications for products or services.Establish procedures and implement policies.Oversee the analysis of data and information.|Posted30+ days ago
Package Handler|Bonshaw Logistics|Charlottetown, PE|$15 an hour|Part Time workers needed to sort Amazon packages.Amazon Package Handler - Part Time.Shift: Flexible shifts daytime and overnight.|Posted23 days ago
newCustomer Service Representative - Work from Home|Sutherland|Charlottetown, PE•Remote|Null|Null|Null
Retail Store Associates|Value Village|Charlottetown, PE|Null|Null|Null
newCustomer Service Representative|Circle K|Hunter River, PE+3 locations|$13 an hour|You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program.Years of service Recognition program.|Posted6 days ago
newaquaculture worker|N 46° Oysters Inc.|Coleman, PE|$15 an hour|Clean, sort and pack shellfish.Cull, mark or tag stock and report stock irregularities.Write daily basic progress reports.Grade and weigh aquaculture stocks.|Posted5 days ago
AV Technician|Auxe|Prince Edward Island, PE|$100 an hour|You have your own equipment/tools, drivers license, and access to a vehicle.Auxe is looking for experienced technicians to help install AV equipment (TVs,…|Posted11 days ago
newadministrative assistant|Keir's Overhead Doors & Ventilation Systems|Union Road, PE|$17 - $18 an hour|Answer telephone and relay telephone calls and messages.Open and distribute regular and electronic incoming mail and other material and co-ordinate the flow of…|Posted4 days ago
security officer, private|3221628 NOVA SCOTIA LIMITED|Borden-Carleton, PE|$15 - $16 an hour|Credentials (certificates, licences, memberships, courses, etc.) First Aid Certificate CPR Certificate Work Setting Private security agency Transportation…|Posted10 days ago
newmaintenance manager|Bulk Carriers (P.E.I.) Limited|Clyde River, PE|$50,000 - $80,000 a year|Business Equipment and Computer Applications Word processing software Spreadsheet Inventory control software Electronic mail Dispatch management service…|Posted3 days ago
newresearch technician, life sciences|Cavendish Farms Corporation|Summerside, PE|$50,000 - $70,000 a year|or equivalent experience Area of Work Experience Production operations Field research and surveying Data analysis and interpretation Cultures and samples…|Posted3 days ago
cashier|Bulk Barn Foods Limited|Charlottetown, PE|$13 an hour|Counter Attendant and Food Preparer Skills Package take-out food Area of Work Experience Cleaning Business Equipment and Computer Applications Price scanner…|Posted11 days ago
CASUAL SERVICE WORKER|Jobs PEI|Prince Edward Island|$19.57 an hour|Bi-Weekly Hours: On call basisThe Service Worker will be responsible for a variety of housekeeping, dietary, and laundry duties in various sites of long term…|Posted30+ days ago
waiter/waitress|Charlottetown Fresh Casual Restaurants Inc.|Charlottetown, PE|$13 an hour|Food and Beverage Serving Skills Advise on menu selections Serve food and beverages Present bills to customers and accept payment in cash, credit or debit…|Posted30+ days ago
newCustomer Service Representative|Circle K|Hunter River, PE+3 locations|$13 an hour|Customer Service Representative Apply on our website: workwithus.circlek.com About Us Our mission at Circle K / Couche-Tard is to make people's…|Posted6 days ago
